country,product,kcal/country/year,kg_proteins/country/year,kg/country/year,energy_weight_ratio,prot_weight_ratio
Albanie,Graisses Animales Crue,32428060000.0,115814.50000000006,4188360.0,7742.424242424242,0.027651515151515167
Albanie,Oeufs,53274670000.0,4227229.25,39503850.0,1348.5943775100402,0.10700803212851405
Albanie,Lait - Excl Beurre,617291285000.0,34698024.2,963703560.0,640.5406295271961,0.03600487290925853
Albanie,Poissons Eau Douce,1158145000.0,254791.9,2411480.0,480.2631578947368,0.1056578947368421
Albanie,Perciform,1158145000.0,254791.9,3109540.0,372.44897959183675,0.08193877551020408
Albanie,Poissons Pelagiques,4632580000.0,544328.15,4569120.0,1013.8888888888889,0.11913194444444444
Albanie,"Poissons Marins, Autres",1158145000.0,220047.55,2125910.0,544.776119402985,0.10350746268656716
Albanie,Cephalopodes,1158145000.0,173721.74999999994,1174010.0,986.4864864864865,0.14797297297297293
Albanie,Blé,1223001120000.0,38959997.8,439904720.0,2780.1500288517022,0.08856462781304096
Albanie,Riz (Eq Blanchi),78753860000.0,1551914.3,24685940.0,3190.2313624678663,0.06286632390745502
Albanie,Orge,1158145000.0,34744.35,507680.0,2281.25,0.0684375
Albanie,Maïs,15055885000.0,359024.95,5679670.0,2650.8379888268155,0.0632122905027933
Albanie,Seigle,5790725000.0,150558.85,2189370.0,2644.927536231884,0.06876811594202899
Albanie,Avoine,1158145000.0,34744.35,412490.0,2807.6923076923076,0.08423076923076923
Albanie,Pommes de Terre,89177165000.0,2188894.05,130917980.0,681.1682016480853,0.01671958313136209
Albanie,Patates douces,1158145000.0,11581.45,1078820.0,1073.5294117647059,0.01073529411764706
Albanie,Miel,9265160000.0,11581.45,3014350.0,3073.684210526316,0.003842105263157895
Albanie,Haricots,53274670000.0,3381783.4,15991920.0,3331.3492063492063,0.21146825396825397
Albanie,Légumineuses Autres,3474435000.0,254791.9,1078820.0,3220.5882352941176,0.2361764705882353
Albanie,Noix,31269915000.0,706468.45,13358330.0,2340.855106888361,0.052885985748218525
Albanie,Arachides Decortiquees,2316290000.0,127395.95,475950.0,4866.666666666667,0.26766666666666666
Albanie,Olives,79912005000.0,799120.0499999998,72979000.0,1095.0,0.010949999999999998
Albanie,Huil Plantes Oleif Autr,30111770000.0,23162.9,3553760.0,8473.214285714286,0.006517857142857143
Albanie,Tomates,32428060000.0,1540332.85,185176280.0,175.11994516792325,0.008318197395476354
Albanie,Oignons,28953625000.0,1030749.05,94206370.0,307.3425395756147,0.010941394408891884
Albanie,"Légumes, Autres",113498210000.0,4713650.15,498319650.0,227.76185928048392,0.009459089461954793
Albanie,"Oranges, Mandarines",12739595000.0,243210.45,39948070.0,318.9038919777601,0.006088165210484512
Albanie,Citrons & Limes,1158145000.0,34744.35,4918150.0,235.48387096774192,0.007064516129032258
Albanie,Bananes,11581450000.0,138977.4,19799520.0,584.9358974358975,0.007019230769230769
Albanie,Pommes,38218785000.0,231629.00000000012,78055800.0,489.6341463414634,0.0029674796747967496
Albanie,Dattes,18530320000.0,185303.2,12057400.0,1536.842105263158,0.01536842105263158
Albanie,Raisin,99600470000.0,1065493.4,152811680.0,651.7857142857143,0.006972591362126245
Albanie,"Fruits, Autres",72963135000.0,1065493.4,141135040.0,516.9739208633093,0.007549460431654676
Albanie,Café,3474435000.0,486420.9,7869040.0,441.53225806451616,0.061814516129032264
Albanie,Feve de Cacao,15055885000.0,185303.2,2284560.0,6590.277777777777,0.08111111111111112
Albanie,Bière,41693220000.0,428513.65,85607540.0,487.02742772424017,0.005005559673832469
Albanie,Aliments pour enfants,1158145000.0,46325.8,285570.0,4055.5555555555557,0.16222222222222224
Algérie,Viande de Bovins,357773000000.0,32199570.0,219564800.0,1629.4642857142858,0.14665178571428572
Algérie,Viande d'Ovins/Caprins,615369560000.0,40213685.2,301509520.0,2040.962288686606,0.13337451235370612
Algérie,Viande de Volailles,372083920000.0,32628897.6,290923360.0,1278.9757412398922,0.11215633423180593
Algérie,"Viande, Autre",14310920000.0,2146637.9999999995,14114880.0,1013.8888888888889,0.1520833333333333
Algérie,Abats Comestible,57243680000.0,9015879.6,56851600.0,1006.8965517241379,0.15858620689655173
Algérie,"Beurre, Ghee",157420120000.0,143109.2,19604000.0,8030.0,0.007300000000000001
Algérie,Oeufs,386394840000.0,32915116.0,316016480.00000006,1222.7047146401983,0.1041563275434243
Algérie,Lait - Excl Beurre,3248578840000.0,190907672.8,5549108240.0,585.4235851056313,0.034403306719423446
Algérie,Poissons Eau Douce,14310920000.0,1144873.6,13330720.0,1073.5294117647059,0.08588235294117648
Algérie,Poissons Pelagiques,85865520000.0,12450500.4,99980400.0,858.8235294117648,0.12452941176470589
Algérie,"Poissons Marins, Autres",14310920000.0,1717310.4,16859440.0,848.8372093023256,0.10186046511627907
Algérie,Blé,20378750080000.0,614940232.4000001,7269947360.0,2803.149606299213,0.08458661417322835
Algérie,Riz (Eq Blanchi),429327600000.0,8157224.3999999985,116447760.0,3686.868686868687,0.07005050505050504
Algérie,Orge,1345226480000.0,36922173.6,516761440.0,2603.186646433991,0.07144916540212444
Algérie,Maïs,1846108680000.0,45508725.6,626935920.0,2944.6529080675423,0.0725891181988743
Algérie,Sorgho,14310920000.0,286218.4,2744560.0,5214.285714285715,0.1042857142857143
Algérie,Pommes de Terre,1803175920000.0,38067047.2,2539894240.0,709.9413399197283,0.014987650509416488
Algérie,Haricots,200352880000.0,13166046.4,60772400.0,3296.7741935483873,0.21664516129032257
Algérie,Pois,57243680000.0,4007057.6000000006,18035680.0,3173.913043478261,0.2221739130434783
Algérie,Légumineuses Autres,872966120000.0,55097042.0,247402480.0,3528.526148969889,0.22270206022187006
Algérie,Noix,186041960000.0,6153695.6000000015,70574400.0,2636.1111111111113,0.08719444444444446
Algérie,Arachides Decortiquees,71554600000.0,3005293.2,10978240.0,6517.857142857143,0.27375
Algérie,Sésame,28621840000.0,858655.2,4704960.0,6083.333333333333,0.1825
Algérie,Olives,171731040000.0,2146637.9999999995,190942960.0,899.3839835728953,0.011242299794661188
Algérie,Huile de Colza&Moutarde,157420120000.0,143109.2,18035680.0,8728.260869565218,0.007934782608695653
Algérie,Huil Plantes Oleif Autr,672613240000.0,572436.8,78023920.0,8620.603015075378,0.007336683417085428
Algérie,Tomates,228974720000.0,11305626.8,1072730880.0,213.45029239766083,0.010539108187134504
Algérie,Oignons,500882200000.0,14024701.6,1277004560.0,392.23211544365984,0.010982499232422475
Algérie,"Légumes, Autres",1044697160000.0,49086455.6,4146638080.0,251.93835098335856,0.011837651285930409
Algérie,"Oranges, Mandarines",343462080000.0,4722603.6000000015,1116251760.0,307.6923076923077,0.004230769230769232
Algérie,Citrons & Limes,14310920000.0,286218.4,74887280.0,191.09947643979058,0.003821989528795812
Algérie,Bananes,143109200000.0,2432856.4000000004,247010400.0,579.3650793650794,0.00984920634920635
Algérie,Pommes,257596560000.0,1144873.6,543422880.0,474.02597402597405,0.0021067821067821068
Algérie,Dattes,1445402920000.0,12021172.8,820623440.0,1761.3473483038701,0.014648829431438129
Algérie,Raisin,300529320000.0,3148402.4,512056480.0,586.906584992343,0.00614854517611026
Algérie,"Fruits, Autres",558125880000.0,8157224.3999999985,1140952800.0,489.17525773195877,0.007149484536082473
Algérie,Café,57243680000.0,8586551.999999998,129386400.0,442.42424242424244,0.06636363636363635
Algérie,Feve de Cacao,143109200000.0,3148402.4,41560480.0,3443.396226415094,0.07575471698113208
Algérie,Poivre,14310920000.0,429327.6,3920800.0,3650.0,0.1095
Algérie,Piments,57243680000.0,2575965.6,18819840.0,3041.6666666666665,0.136875
Algérie,"Épices, Autres",28621840000.0,1287982.7999999998,9802000.0,2920.0,0.1314
Algérie,Bière,85865520000.0,1001764.4,188198400.0,456.25,0.005322916666666667
Algérie,Aliments pour enfants,85865520000.0,3291511.6,21564400.0,3981.818181818182,0.15263636363636365
Allemagne,Viande de Bovins,1177618845000.0,142220122.04999998,1088687320.0,1081.6869300911853,0.13063449848024314
Allemagne,Viande d'Ovins/Caprins,150976775000.0,7548838.75,60390710.0,2500.0,0.125
Allemagne,Viande de Suides,7156299135000.0,430585762.30000013,4286085870.0,1669.6583671105964,0.10046130090716081
Allemagne,Viande de Volailles,1962698075000.0,219218277.3,1468404250.0,1336.619718309859,0.14929014084507042
Allemagne,"Viande, Autre",211367485000.0,42273497.0,205162960.0,1030.241935483871,0.2060483870967742
